"Cod","X","Y"
"M001",720227.662267115,9680900.97284314
"M002",732260.172923403,9682764.18962588
"M003",726518.60840112,9674226.01107413
"M004",720877.975771222,9695101.94377702
"M005",699500.997949666,9687442.32801799
"M006",716116.787471007,9675857.09898731
"M007",699523.093556162,9692426.46464778
"M008",726028.350238864,9684203.2973027
"M009",714669.028995898,9683686.49110837
"M010",723010.051223116,9686686.06266116
"M011",723664.810804397,9679572.14693186
"M012",728817.838077732,9681929.83167022
