"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010"
2015-01-01,0,0,0,0,0,0,0,0,0,0
2015-01-02,0,0,0,0.2,0,0.1,0,0,0,0
2015-01-03,0.1,0,0,0.1,0.1,0.4,0,0,0,0
2015-01-04,0.2,0,1,1.1,0.4,1.4,0.2,0.2,0,0
2015-01-05,0,0,0,0.6,0,0.2,0,0.4,NA,0
2015-01-06,0,0,0,0,0,0,0,0,NA,0
2015-01-07,0,0,0,0.1,0,0,0,0,0,0.1
2015-01-08,0.3,0,0.1,0,0,0.4,0,0,0,0
2015-01-09,2.1,1.4,2.3,NA,0.5,1.9,NA,1.9,0.9,1.3
2015-01-10,0.7,0.6,0.8,2.1,0.3,1.1,0.3,0.8,0.4,0.6
2015-01-11,0,0,0,2.3,0,0.5,0,0,0,0
2015-01-12,0.4,0.4,0.1,0.3,0,0,0,0,0,0
2015-01-13,0,0.1,0.4,0.2,1.2,3.2,0,0.8,0,0
2015-01-14,0,0,0,0.2,0,0,0,0,0,0
2015-01-15,0,0,0,0,0,0,0,0,0,0
2015-01-16,0,4.4,0,0.5,0,0,2.1,4.9,0,1.3
2015-01-17,36.7,0.3,16.7,0.1,10.8,6,1.1,0.9,16.9,7.4
2015-01-18,2.9,2.2,NA,NA,4.1,8.7,0.9,4.6,1.4,1.2
2015-01-19,7.8,10.5,10.1,5.7,4.6,10,19.5,17.8,7.9,18.8
2015-01-20,4.5,3.2,9.3,22.1,8.7,12.9,4.9,6.6,3.8,1
2015-01-21,5,4.1,14.6,22.3,22.7,17.6,6.5,9.2,8.4,9.1
2015-01-22,1.9,2.1,4.2,2.2,6,0.7,1.9,1.4,1.2,0.8
2015-01-23,21.5,0.7,9,17.1,3,15.7,1,0.2,29.6,0.8
2015-01-24,12.8,7.7,29.2,2.2,10.5,2.8,8.3,1.6,7.7,17.1
2015-01-25,0.1,0.2,0.1,0,0,1,0,0,0,0
2015-01-26,8.4,0,4.4,6.9,3.8,6.3,0,0,9.1,0.3
2015-01-27,25.3,8.3,3.4,1.8,5.3,3.8,5.5,5.5,21.3,21.5
2015-01-28,0.6,0.8,1.4,2.5,1.9,0.8,0.3,0.5,1.6,2.6
2015-01-29,0,0,0,0,0.1,0,0,0,0,0
2015-01-30,0.4,0,0.1,3.7,0.2,0.7,0.1,0.6,0,0.1
2015-01-31,0.5,0.1,1.1,3.7,0.8,1.6,0.3,0.8,0,0.1
2015-02-01,0.4,2,0.7,5.1,0.4,1.1,0.6,1.1,0.6,0.9
2015-02-02,0,0,0,0,1.4,0.2,0,0.1,0.2,0
2015-02-03,0,0,0,0.5,0,0.4,0,0.2,0,0
2015-02-04,0.9,0.4,1.3,2.5,3.7,4.5,0.3,0.3,0.2,0.9
2015-02-05,0,0,0,0.2,0,0.2,0,0,0,0
2015-02-06,0,0.6,0,0,0,0,0,0,0,0.3
2015-02-07,0,0,0,0,0,0,0,0,0,0
2015-02-08,0,0,0.6,2,2.9,2.1,0.1,1.2,0.2,0
2015-02-09,0.4,0,0.9,0.7,0.1,0.5,0,0.3,0,0
2015-02-10,0,0,0.1,0.1,0,0,0,0,0,0
2015-02-11,0,0,0,0.2,0,0,0,0.1,0,0
2015-02-12,0.2,0,0.3,1.9,0.1,0.8,0,0,0,0.2
2015-02-13,0,0,0,1,0.2,0.2,0.2,0.1,0,0
