"Date","M001","M002","M003","M004","M005","M006","M007","M008","M009","M010"
2015-02-14,0,0,0,0.2,0,0,0.1,0,0,0
2015-02-15,0,0.1,0,0.9,0,0.1,0,0.2,0,0.1
2015-02-16,0,0,0,0,0,0,0,0,0,0
2015-02-17,0,0,0,0,0,0,0,0,0,0
2015-02-18,0,0,0,0.3,0,0,0,0,0,0
2015-02-19,0,2.3,0,5.4,0,0,0,0,0,0.1
2015-02-20,0,0,0,0.1,0,0,0,0,0,0
2015-02-21,0,0,0,0,0,0,0,0,0,0
2015-02-22,0,0,0,0,0,0,0,0,0,0
2015-02-23,0,0,0,0.2,0,0,0.2,0,NA,0
2015-02-24,15,0.7,9.5,28,8.5,29.8,2.3,26.7,13.6,3.9
2015-02-25,0,0,0.1,0,0.1,0.1,0,0,0,0
2015-02-26,0,0,0,0,0,0.2,0,0,0,0
2015-02-27,0,0.3,0,0.7,0,0,0.1,0.2,0,0
2015-02-28,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,NA,0.6,0,1.1,0.5,0.2,0,0
2015-03-02,5.5,1.7,NA,17.1,3.5,1.6,11.8,14.4,17.6,13.8
2015-03-03,13.7,1,NA,0.5,2.3,28.5,1.2,3.2,3.8,1.6
2015-03-04,3,0.4,NA,15.6,0.5,1.6,1.4,2.2,0.1,0
2015-03-05,0,0,NA,0.1,0.1,0,0,0,0,0
2015-03-06,0,0,NA,0.1,0,0,0,0,0,0
2015-03-07,1.5,0.1,NA,1.1,0.5,2.6,0.2,0.8,0.6,0.6
2015-03-08,0,0,NA,0.4,0,0,0,0,0,0
2015-03-09,0.3,0.3,NA,0.6,0.2,0.1,0,0,0,0.3
2015-03-10,1,0.3,NA,5.3,2.2,3.7,0.6,2.2,0,0.6
2015-03-11,0,0,NA,0.1,0,0.1,0,0,0,0
2015-03-12,0,0,NA,0.5,3,0.1,0,0,0,0.1
2015-03-13,0.3,0,NA,1,0.1,0,0,0,0.8,0
2015-03-14,1.7,0.6,NA,4.3,6.3,2.1,0.4,0.1,0.3,0.6
2015-03-15,0.4,0.1,NA,0.6,1.1,1.4,0.3,0.8,0.3,0.7
2015-03-16,0.1,0,NA,1.4,0,2.5,0,1.1,0,0
2015-03-17,4.5,8.9,NA,12.7,NA,NA,10.7,4,7.1,8.7
2015-03-18,NA,18.5,NA,16.7,NA,NA,20.3,NA,7.3,NA
2015-03-19,0.4,1.7,NA,6.8,7,2.3,0.4,4.1,0.4,0.5
2015-03-20,17.9,NA,NA,NA,14.3,14.3,10.9,NA,NA,NA
2015-03-21,0.3,0.3,NA,4.7,2.4,0.1,0,0,0.4,0
2015-03-22,9,7,NA,3,6.2,2.1,9.6,5.9,3.7,16.3
2015-03-23,0,16.5,NA,10,0,0.3,0,3.3,0.3,1.8
2015-03-24,13.7,43.1,NA,NA,0,16.1,27.2,29.1,13.7,14.1
2015-03-25,14.2,23.2,NA,18.1,NA,18,NA,NA,16.3,21
2015-03-26,1.1,3.8,NA,3,6.1,11.8,1.8,0.8,1.6,2.4
2015-03-27,0,0,NA,0.1,0,0.2,0,0,0,0
2015-03-28,22.1,10.9,NA,22.4,10.4,9.9,13.6,26.6,11.5,13.5
2015-03-29,8.4,3.7,NA,8,3.2,NA,3.9,5.9,3.4,3.3
2015-03-30,0,21.5,NA,4.2,0.2,0.1,0.3,1.9,0.2,0.6
2015-03-31,4.9,11.2,NA,1.1,6,2.8,2.5,4,7.4,6.1
2015-04-01,1.7,1.1,NA,0.7,2.1,4.9,0.6,3.2,0.1,0.8
2015-04-02,1.4,2.6,NA,4.6,7.8,3,1.5,1.8,3.2,3.6
2015-04-03,0,0,NA,0,0,0,0,0,0,0
2015-04-04,0,0,NA,0.1,0,0,0,0,0,0
2015-04-05,0.2,0.2,NA,4.1,1.3,1,0.1,0.2,0.2,0.4
2015-04-06,0.2,0.1,NA,0.2,0,0.7,0.1,0.3,0,0
2015-04-07,0,0,NA,2.4,0,0,0,0.4,0.1,0
2015-04-08,0,0,NA,0,0.5,0.3,0.1,0.3,0.1,0
2015-04-09,0,0,NA,0.8,0,0.1,0,0,0,0
2015-04-10,0.1,0,NA,1.8,0,0.3,0,0.2,0,0
2015-04-11,0,0,1.2,3.2,0.4,1,0,0,0,0
2015-04-12,0,0.1,0,0.1,0.8,0.5,0.5,0.1,0,0
2015-04-13,0,0,0,0.1,0.1,0.1,0,0,0,0
2015-04-14,2.1,2,2.3,NA,1.9,2.5,2.5,4,0.8,2.4
2015-04-15,1.9,8.3,3.4,0,2.8,0.3,2.2,3.4,7.7,6.8
2015-04-16,16.5,5.4,24.8,14.6,3.1,14.6,0.5,13.3,11.2,1.9
2015-04-17,18.9,32.4,7.7,7.4,15.1,9.4,18.3,16.9,6.4,2.7
2015-04-18,0.3,2.9,0,0,0,0.3,0.2,0.1,0.1,0.4
2015-04-19,13.3,0,0.1,0.6,0.1,2.2,0,0.3,3.6,0
2015-04-20,18.9,0,0.5,13.1,0,32.5,20.3,26.1,4.1,17
2015-04-21,0.8,0.8,0.9,4.8,0,0.9,0.4,0.7,0.1,0.6
2015-04-22,0,0,0,1.1,0,0.2,0.1,0,0.1,0
2015-04-23,0.2,0,3.5,1,0,0.4,0.1,1.9,0,0
2015-04-24,6.6,1,3.1,4.6,0,6.9,1.9,1.9,1.8,3.5
2015-04-25,5.3,4,3,5.6,0,4.3,5.3,3.2,4.6,6.7
2015-04-26,5.1,2,2.4,12.7,0,6.4,3.7,13.1,1.9,3.4
2015-04-27,0.7,0.3,1.1,2,0,0.7,0.4,0.9,0.2,0.3
2015-04-28,0.9,1.2,0.8,2.6,0,3.1,1.3,5.3,0.1,1.3
2015-04-29,7.9,0.7,9,1.6,0.7,5.6,1.5,1.3,9.4,0.8
2015-04-30,0.1,0.1,0.1,0,0,0.4,0,0.3,0,0
